Time,OD,Strain,Environment
51.62038889,0.664600015,TUB0,LB
51.79838889,0.664399981,TUB0,LB
51.97638889,0.664600015,TUB0,LB
52.15438889,0.666000009,TUB0,LB
52.33238889,0.664499998,TUB0,LB
52.51038889,0.666599989,TUB0,LB
52.68838889,0.665499985,TUB0,LB
52.86638889,0.665400028,TUB0,LB
53.04438889,0.665600002,TUB0,LB
53.22238889,0.666400015,TUB0,LB
53.40038889,0.666499972,TUB0,LB
53.57838889,0.665199995,TUB0,LB
53.75638889,0.666800022,TUB0,LB
53.93438889,0.666700006,TUB0,LB
54.11238889,0.666800022,TUB0,LB
54.29038889,0.666299999,TUB0,LB
54.46838889,0.666800022,TUB0,LB
54.64638889,0.666499972,TUB0,LB
54.82438889,0.665499985,TUB0,LB
55.00238889,0.666599989,TUB0,LB
55.18038889,0.666599989,TUB0,LB
55.35838889,0.665499985,TUB0,LB
55.53638889,0.667200029,TUB0,LB
55.71438889,0.666800022,TUB0,LB
55.89238889,0.666299999,TUB0,LB
56.07041667,0.667999983,TUB0,LB
56.24838889,0.667900026,TUB0,LB
56.42641667,0.666899979,TUB0,LB
56.60441667,0.668200016,TUB0,LB
56.78241667,0.667200029,TUB0,LB
56.96041667,0.669200003,TUB0,LB
57.13841667,0.669700027,TUB0,LB
57.31641667,0.669399977,TUB0,LB
57.49441667,0.66869998,TUB0,LB
57.67241667,0.670000017,TUB0,LB
57.85041667,0.669399977,TUB0,LB
58.02841667,0.66869998,TUB0,LB
58.20641667,0.67049998,TUB0,LB
58.38441667,0.670000017,TUB0,LB
58.56241667,0.67049998,TUB0,LB
58.74041667,0.671000004,TUB0,LB
58.91841667,0.671400011,TUB0,LB
59.09641667,0.670599997,TUB0,LB
59.27441667,0.671500027,TUB0,LB
59.45241667,0.671299994,TUB0,LB
59.63041667,0.671299994,TUB0,LB
59.80841667,0.671299994,TUB0,LB
59.98641667,0.67110002,TUB0,LB
60.16441667,0.67110002,TUB0,LB
60.34241667,0.67049998,TUB0,LB
60.52041667,0.672399998,TUB0,LB
60.69844444,0.672200024,TUB0,LB
60.87644444,0.670599997,TUB0,LB
61.05444444,0.672299981,TUB0,LB
61.23244444,0.672100008,TUB0,LB
61.41041667,0.671500027,TUB0,LB
61.58844444,0.672299981,TUB0,LB
61.76644444,0.672599971,TUB0,LB
61.94444444,0.671899974,TUB0,LB
62.12244444,0.673300028,TUB0,LB
62.30044444,0.673399985,TUB0,LB
62.47844444,0.672599971,TUB0,LB
62.65644444,0.673600018,TUB0,LB
62.83444444,0.674300015,TUB0,LB
63.01244444,0.674199998,TUB0,LB
63.19044444,0.673699975,TUB0,LB
